target_id,net_name,domain,zone,fault_val,gld_spikes,flt_spikes,gld_times,flt_times
0,_0393_,COMB,COMB_CLOUD,SA0,46,371,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2020, 2033, 2046, 2060, 2074, 2088, 2103, 2118, 2133, 2148, 2164, 2180, 2197, 2214, 2231, 2249, 2267, 2286, 2305, 2325, 2346, 2367, 2389, 2412, 2435, 2459, 2484, 2510, 2537, 2565, 2594, 2624, 2656, 2689, 2724, 2761, 2800, 2841, 2885, 2905, 2918, 2931, 2945, 2959, 2973, 2988, 3003, 3018, 3033, 3049, 3065, 3082, 3099, 3116, 3134, 3152, 3171, 3190, 3210, 3231, 3252, 3274, 3297, 3320, 3344, 3369, 3395, 3422, 3450, 3479, 3509, 3541, 3574, 3609, 3646, 3685, 3726, 3770, 3790, 3803, 3816, 3830, 3844, 3858, 3873, 3888, 3903, 3918, 3934, 3950, 3967, 3984, 4001, 4019, 4037, 4056, 4075, 4095, 4116, 4137, 4159, 4182, 4205, 4229, 4254, 4280, 4307, 4335, 4364, 4394, 4426, 4459, 4494, 4531, 4570, 4611, 4655, 4675, 4688, 4701, 4715, 4729, 4743, 4758, 4773, 4788, 4803, 4819, 4835, 4852, 4869, 4886, 4904, 4922, 4941, 4960, 4980, 5001, 5022, 5044, 5067, 5090, 5114, 5139, 5165, 5192, 5220, 5249, 5279, 5311, 5344, 5379, 5416, 5455, 5496, 5540, 5560, 5573, 5586, 5600, 5614, 5628, 5643, 5658, 5673, 5688, 5704, 5720, 5737, 5754, 5771, 5789, 5807, 5826, 5845, 5865, 5886, 5907, 5929, 5952, 5975, 5999, 6024, 6050, 6077, 6105, 6134, 6164, 6196, 6229, 6264, 6301, 6340, 6381, 6425, 6445, 6458, 6471, 6485, 6499, 6513, 6528, 6543, 6558, 6573, 6589, 6605, 6622, 6639, 6656, 6674, 6692, 6711, 6730, 6750, 6771, 6792, 6814, 6837, 6860, 6884, 6909, 6935, 6962, 6990, 7019, 7049, 7081, 7114, 7149, 7186, 7225, 7266, 7310, 7330, 7343, 7356, 7370, 7384, 7398, 7413, 7428, 7443, 7458, 7474, 7490, 7507, 7524, 7541, 7559, 7577, 7596, 7615, 7635, 7656, 7677, 7699, 7722, 7745, 7769, 7794, 7820, 7847, 7875, 7904, 7934, 7966, 7999, 8034, 8071, 8110, 8151, 8195, 8215, 8228, 8241, 8255, 8269, 8283, 8298, 8313, 8328, 8343, 8359, 8375, 8392, 8409, 8426, 8444, 8462, 8481, 8500, 8520, 8541, 8562, 8584, 8607, 8630, 8654, 8679, 8705, 8732, 8760, 8789, 8819, 8851, 8884, 8919, 8956, 8995, 9036, 9080, 9100, 9113, 9126, 9140, 9154, 9168, 9183, 9198, 9213, 9228, 9244, 9260, 9277, 9294, 9311, 9329, 9347, 9366, 9385, 9405, 9426, 9447, 9469, 9492, 9515, 9539, 9564, 9590, 9617, 9645, 9674, 9704, 9736, 9769, 9804, 9841, 9880, 9921, 9965, 9985, 9998]"
0,_0393_,COMB,COMB_CLOUD,SA1,46,46,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]"
1,_0404_,COMB,COMB_CLOUD,SA0,46,373,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2017, 2030, 2043, 2057, 2071, 2085, 2100, 2115, 2130, 2145, 2161, 2177, 2194, 2211, 2228, 2246, 2264, 2283, 2302, 2322, 2343, 2364, 2386, 2409, 2432, 2456, 2481, 2507, 2534, 2562, 2591, 2621, 2653, 2686, 2721, 2758, 2797, 2838, 2882, 2899, 2912, 2925, 2939, 2953, 2967, 2982, 2997, 3012, 3027, 3043, 3059, 3076, 3093, 3110, 3128, 3146, 3165, 3184, 3204, 3225, 3246, 3268, 3291, 3314, 3338, 3363, 3389, 3416, 3444, 3473, 3503, 3535, 3568, 3603, 3640, 3679, 3720, 3764, 3781, 3794, 3807, 3821, 3835, 3849, 3864, 3879, 3894, 3909, 3925, 3941, 3958, 3975, 3992, 4010, 4028, 4047, 4066, 4086, 4107, 4128, 4150, 4173, 4196, 4220, 4245, 4271, 4298, 4326, 4355, 4385, 4417, 4450, 4485, 4522, 4561, 4602, 4646, 4663, 4676, 4689, 4703, 4717, 4731, 4746, 4761, 4776, 4791, 4807, 4823, 4840, 4857, 4874, 4892, 4910, 4929, 4948, 4968, 4989, 5010, 5032, 5055, 5078, 5102, 5127, 5153, 5180, 5208, 5237, 5267, 5299, 5332, 5367, 5404, 5443, 5484, 5528, 5545, 5558, 5571, 5585, 5599, 5613, 5628, 5643, 5658, 5673, 5689, 5705, 5722, 5739, 5756, 5774, 5792, 5811, 5830, 5850, 5871, 5892, 5914, 5937, 5960, 5984, 6009, 6035, 6062, 6090, 6119, 6149, 6181, 6214, 6249, 6286, 6325, 6366, 6410, 6427, 6440, 6453, 6467, 6481, 6495, 6510, 6525, 6540, 6555, 6571, 6587, 6604, 6621, 6638, 6656, 6674, 6693, 6712, 6732, 6753, 6774, 6796, 6819, 6842, 6866, 6891, 6917, 6944, 6972, 7001, 7031, 7063, 7096, 7131, 7168, 7207, 7248, 7292, 7309, 7322, 7335, 7349, 7363, 7377, 7392, 7407, 7422, 7437, 7453, 7469, 7486, 7503, 7520, 7538, 7556, 7575, 7594, 7614, 7635, 7656, 7678, 7701, 7724, 7748, 7773, 7799, 7826, 7854, 7883, 7913, 7945, 7978, 8013, 8050, 8089, 8130, 8174, 8191, 8204, 8217, 8231, 8245, 8259, 8274, 8289, 8304, 8319, 8335, 8351, 8368, 8385, 8402, 8420, 8438, 8457, 8476, 8496, 8517, 8538, 8560, 8583, 8606, 8630, 8655, 8681, 8708, 8736, 8765, 8795, 8827, 8860, 8895, 8932, 8971, 9012, 9056, 9073, 9086, 9099, 9113, 9127, 9141, 9156, 9171, 9186, 9201, 9217, 9233, 9250, 9267, 9284, 9302, 9320, 9339, 9358, 9378, 9399, 9420, 9442, 9465, 9488, 9512, 9537, 9563, 9590, 9618, 9647, 9677, 9709, 9742, 9777, 9814, 9853, 9894, 9938, 9955, 9968, 9981, 9995]"
1,_0404_,COMB,COMB_CLOUD,SA1,46,46,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]"
2,_0415_,COMB,COMB_CLOUD,SA0,46,372,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2016, 2032, 2048, 2065, 2082, 2099, 2117, 2135, 2154, 2173, 2193, 2213, 2234, 2256, 2278, 2301, 2325, 2350, 2376, 2403, 2431, 2460, 2490, 2522, 2555, 2590, 2627, 2666, 2707, 2751, 2765, 2778, 2791, 2805, 2819, 2833, 2848, 2863, 2878, 2894, 2910, 2926, 2943, 2960, 2978, 2996, 3014, 3033, 3053, 3073, 3094, 3115, 3137, 3160, 3184, 3208, 3233, 3259, 3286, 3314, 3344, 3375, 3407, 3441, 3477, 3515, 3555, 3597, 3642, 3656, 3669, 3683, 3697, 3711, 3725, 3740, 3755, 3770, 3786, 3802, 3818, 3835, 3852, 3870, 3888, 3907, 3926, 3946, 3966, 3987, 4009, 4031, 4054, 4078, 4103, 4129, 4156, 4184, 4213, 4243, 4274, 4307, 4341, 4377, 4415, 4456, 4499, 4513, 4526, 4539, 4553, 4567, 4581, 4596, 4611, 4626, 4642, 4658, 4674, 4691, 4708, 4725, 4743, 4761, 4780, 4799, 4819, 4840, 4861, 4883, 4906, 4929, 4953, 4978, 5004, 5031, 5059, 5088, 5119, 5151, 5185, 5220, 5257, 5296, 5338, 5382, 5396, 5409, 5423, 5437, 5451, 5465, 5480, 5495, 5510, 5526, 5542, 5558, 5575, 5592, 5610, 5628, 5647, 5666, 5686, 5706, 5727, 5748, 5770, 5793, 5817, 5842, 5867, 5893, 5920, 5949, 5979, 6010, 6043, 6077, 6113, 6151, 6191, 6234, 6279, 6293, 6306, 6320, 6334, 6348, 6362, 6377, 6392, 6407, 6423, 6439, 6456, 6473, 6490, 6508, 6526, 6545, 6564, 6584, 6604, 6625, 6647, 6669, 6692, 6716, 6741, 6767, 6794, 6822, 6851, 6881, 6913, 6946, 6981, 7018, 7057, 7098, 7142, 7156, 7169, 7182, 7196, 7210, 7224, 7239, 7254, 7269, 7285, 7301, 7317, 7334, 7351, 7369, 7387, 7405, 7424, 7443, 7463, 7484, 7505, 7527, 7550, 7573, 7597, 7622, 7648, 7675, 7703, 7732, 7763, 7795, 7829, 7864, 7901, 7941, 7983, 8028, 8042, 8055, 8069, 8083, 8097, 8111, 8126, 8141, 8156, 8172, 8188, 8204, 8221, 8238, 8256, 8274, 8293, 8312, 8332, 8352, 8373, 8395, 8417, 8440, 8464, 8489, 8514, 8540, 8568, 8597, 8627, 8658, 8691, 8725, 8761, 8799, 8839, 8882, 8896, 8909, 8922, 8936, 8950, 8964, 8979, 8994, 9009, 9024, 9040, 9056, 9073, 9090, 9107, 9125, 9143, 9162, 9181, 9201, 9222, 9243, 9265, 9288, 9311, 9335, 9360, 9386, 9413, 9441, 9470, 9501, 9533, 9566, 9601, 9638, 9677, 9719, 9763, 9777, 9790, 9804, 9818, 9832, 9846, 9861, 9876, 9891, 9907, 9923, 9939, 9956, 9973, 9991]"
2,_0415_,COMB,COMB_CLOUD,SA1,46,46,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]"
3,_0426_,COMB,COMB_CLOUD,SA0,46,46,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]"
3,_0426_,COMB,COMB_CLOUD,SA1,46,46,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]"
4,_0437_,COMB,COMB_CLOUD,SA0,46,46,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3379, 3659, 3939, 4219, 4499, 4779, 5059, 5339, 5619, 5899, 6179, 6459, 6739, 7019, 7299, 7579, 7859, 8139, 8419, 8699, 8979, 9259, 9539, 9819]"
4,_0437_,COMB,COMB_CLOUD,SA1,46,46,"[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2819, 3099, 3380, 3660, 3940, 4221, 4501, 4781, 5061, 5342, 5622, 5902, 6183, 6463, 6743, 7023, 7304, 7584, 7864, 8145, 8425, 8705, 8985, 9266, 9546, 9826]","[30, 72, 117, 165, 217, 273, 334, 401, 475, 558, 652, 761, 889, 1042, 1228, 1451, 1707, 1980, 2259, 2539, 2820, 3101, 3381, 3662, 3943, 4223, 4504, 4785, 5065, 5346, 5627, 5907, 6188, 6469, 6749, 7030, 7311, 7591, 7872, 8153, 8433, 8714, 8995, 9275, 9556, 9837]"
