target_id,net_name,domain,zone,fault_val,gld_spikes,flt_spikes,gld_times,flt_times
3702,_3450_,COMB,COMB_CLOUD,SA0,35,71,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2157, 2263, 2389, 2519, 2649, 2773, 2903, 3031, 3157, 3289, 3414, 3539, 3665, 3790, 3918, 4049, 4175, 4306, 4436, 4561, 4689, 4816, 4944, 5074, 5202, 5330, 5456, 5588, 5714, 5839, 5970, 6098, 6228, 6357, 6483, 6609, 6740, 6862, 6994, 7122, 7250, 7378, 7507, 7637, 7764, 7890, 8016, 8142, 8266, 8394, 8521, 8647, 8774, 8901, 9028, 9157, 9285, 9412, 9542, 9669, 9800, 9927]"
3702,_3450_,COMB,COMB_CLOUD,SA1,35,64,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2389, 2541, 2609, 2810, 2987, 3053, 3227, 3390, 3457, 3645, 3814, 3881, 4066, 4243, 4308, 4482, 4651, 4718, 4903, 5072, 5139, 5324, 5493, 5560, 5745, 5922, 5987, 6161, 6330, 6397, 6582, 6751, 6818, 7003, 7172, 7239, 7424, 7601, 7666, 7840, 8009, 8076, 8261, 8430, 8497, 8682, 8851, 8918, 9103, 9280, 9345, 9519, 9688, 9755, 9940]"
3703,_3451_,COMB,COMB_CLOUD,SA0,35,91,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2126, 2203, 2293, 2392, 2489, 2586, 2683, 2779, 2876, 2972, 3069, 3166, 3263, 3359, 3456, 3553, 3650, 3746, 3843, 3939, 4036, 4133, 4230, 4326, 4423, 4519, 4616, 4713, 4810, 4906, 5003, 5100, 5197, 5293, 5390, 5487, 5584, 5680, 5777, 5873, 5970, 6067, 6164, 6260, 6357, 6453, 6550, 6647, 6744, 6840, 6937, 7034, 7131, 7227, 7324, 7421, 7518, 7614, 7711, 7807, 7904, 8001, 8098, 8194, 8291, 8388, 8485, 8581, 8678, 8774, 8871, 8968, 9065, 9161, 9258, 9354, 9451, 9548, 9645, 9741, 9838, 9935]"
3703,_3451_,COMB,COMB_CLOUD,SA1,35,64,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2389, 2541, 2609, 2810, 2987, 3053, 3227, 3390, 3457, 3645, 3814, 3881, 4066, 4243, 4308, 4482, 4651, 4718, 4903, 5072, 5139, 5324, 5493, 5560, 5745, 5922, 5987, 6161, 6330, 6397, 6582, 6751, 6818, 7003, 7172, 7239, 7424, 7601, 7666, 7840, 8009, 8076, 8261, 8430, 8497, 8682, 8851, 8918, 9103, 9280, 9345, 9519, 9688, 9755, 9940]"
3704,_3452_,COMB,COMB_CLOUD,SA0,35,45,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2222, 2418, 2634, 2841, 3179, 3342, 3407, 3575, 3738, 3804, 3954, 4234, 4494, 4688, 4751, 4899, 5282, 5456, 5839, 6209, 6426, 6759, 6988, 7182, 7245, 7393, 7776, 7950, 8333, 8495, 8561, 8742, 9109, 9326, 9661, 9890]"
3704,_3452_,COMB,COMB_CLOUD,SA1,35,34,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2277, 2646, 2910, 3235, 3517, 3807, 4133, 4510, 4860, 5185, 5489, 5874, 6142, 6377, 6667, 6996, 7280, 7636, 7988, 8360, 8638, 8927, 9222, 9614, 9889]"
3705,_3453_,COMB,COMB_CLOUD,SA0,35,91,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2125, 2201, 2293, 2384, 2476, 2567, 2667, 2772, 2869, 2971, 3072, 3164, 3270, 3363, 3450, 3543, 3640, 3737, 3838, 3935, 4026, 4114, 4211, 4303, 4400, 4503, 4596, 4699, 4789, 4879, 4970, 5070, 5174, 5265, 5362, 5465, 5558, 5663, 5752, 5850, 5940, 6036, 6144, 6235, 6325, 6423, 6515, 6611, 6709, 6804, 6899, 7003, 7097, 7196, 7290, 7397, 7494, 7586, 7688, 7787, 7889, 7985, 8079, 8182, 8274, 8366, 8464, 8570, 8674, 8769, 8873, 8977, 9066, 9157, 9261, 9361, 9452, 9549, 9644, 9743, 9837, 9928]"
3705,_3453_,COMB,COMB_CLOUD,SA1,35,64,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2405, 2560, 2628, 2832, 3012, 3078, 3251, 3417, 3484, 3670, 3850, 3915, 4088, 4254, 4321, 4507, 4687, 4752, 4925, 5091, 5158, 5344, 5524, 5589, 5762, 5928, 5995, 6181, 6361, 6426, 6593, 6759, 6826, 7013, 7193, 7258, 7425, 7591, 7658, 7844, 8024, 8089, 8262, 8428, 8495, 8681, 8861, 8926, 9099, 9265, 9332, 9518, 9698, 9763, 9930]"
3706,_3454_,COMB,COMB_CLOUD,SA0,35,119,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2098, 2154, 2218, 2291, 2366, 2439, 2511, 2584, 2657, 2730, 2803, 2876, 2948, 3020, 3093, 3166, 3238, 3311, 3384, 3456, 3529, 3602, 3674, 3747, 3820, 3892, 3965, 4038, 4111, 4183, 4256, 4328, 4401, 4474, 4547, 4619, 4692, 4764, 4837, 4910, 4983, 5055, 5128, 5200, 5273, 5346, 5419, 5491, 5563, 5636, 5709, 5782, 5855, 5927, 5999, 6072, 6145, 6218, 6290, 6363, 6435, 6508, 6581, 6654, 6726, 6799, 6871, 6944, 7017, 7090, 7162, 7235, 7307, 7380, 7453, 7526, 7598, 7671, 7743, 7816, 7889, 7962, 8034, 8107, 8179, 8252, 8325, 8398, 8470, 8543, 8615, 8688, 8761, 8834, 8906, 8979, 9051, 9124, 9197, 9270, 9342, 9415, 9487, 9560, 9633, 9706, 9778, 9851, 9923, 9996]"
3706,_3454_,COMB,COMB_CLOUD,SA1,35,64,"[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2264, 2573, 2883, 3192, 3502, 3811, 4120, 4430, 4739, 5049, 5358, 5667, 5977, 6286, 6596, 6905, 7214, 7524, 7833, 8143, 8452, 8761, 9071, 9380, 9690, 9999]","[22, 57, 112, 361, 731, 1022, 1337, 1645, 1955, 2405, 2560, 2628, 2832, 3012, 3078, 3251, 3417, 3484, 3670, 3850, 3915, 4088, 4254, 4321, 4507, 4687, 4752, 4925, 5091, 5158, 5344, 5524, 5589, 5762, 5928, 5995, 6181, 6361, 6426, 6593, 6759, 6826, 7013, 7193, 7258, 7425, 7591, 7658, 7844, 8024, 8089, 8262, 8428, 8495, 8681, 8861, 8926, 9099, 9265, 9332, 9518, 9698, 9763, 9930]"
